"Disease	",Specialist Doctor,Hospital,Best Treatement 
Varicose Veins,Dr. Ajay Gupta,"AIIMS, Delhi","Sclerotherapy, Laser treatments"
Gallstones,Dr. Ramesh Kumar,"Apollo Hospital, Chennai",Cholecystectomy
Psoriatic Arthritis,Dr. Deepak Sharma,"AIIMS, Delhi","NSAIDs, DMARDs"
Obsessive-Compulsive Disorder (OCD),Dr. Sunil Kumar,"NIMHANS, Bangalore","SSRIs, Cognitive behavioral therapy"
Panic Disorder,Dr. Rajesh Mehta,"AIIMS, Delhi","Antidepressants, Cognitive therapy"
Anemia,Dr. Suman Gupta,"Fortis Hospital, Mumbai","Iron supplements, Dietary changes"
Erectile Dysfunction,Dr. Vishal Sinha,"Apollo Hospital, Hyderabad","PDE5 inhibitors, Lifestyle changes"
Sickle Cell Disease,Dr. Meera Sinha,"AIIMS, Delhi","Hydroxyurea, Blood transfusions"
Lyme Disease,Dr. Ankit Kumar,"Fortis Hospital, Delhi",Antibiotics
Eczema,Dr. Shilpa Verma,"AIIMS, Delhi","Topical corticosteroids, Moisturizers"
Rosacea,Dr. Amit Gupta,"Apollo Hospital, Chennai","Topical treatments, Oral antibiotics"
Huntington's Disease,Dr. Anjali Mehta,"NIMHANS, Bangalore","Tetrabenazine, Antipsychotics"
Meniere's Disease,Dr. Anil Joshi,"AIIMS, Delhi","Diuretics, Vestibular rehabilitation"
Trigeminal Neuralgia,Dr. Priya Sharma,"Fortis Hospital, Mumbai","Anticonvulsants, Surgery"
Marfan Syndrome,Dr. Ramesh Nair,"AIIMS, Delhi","Beta-blockers, Surgery"
Myasthenia Gravis,Dr. Arjun Mehta,"NIMHANS, Bangalore",Anticholinesterase medications
Guillain-Barre Syndrome,Dr. Pooja Nair,"AIIMS, Delhi","Plasma exchange, Immunoglobulin therapy"
Cystic Fibrosis,Dr. Sunil Verma,"Apollo Hospital, Hyderabad","Antibiotics, Chest physiotherapy"
Wilson's Disease,Dr. Sneha Patel,"AIIMS, Delhi","Chelation therapy, Zinc acetate"
Amyotrophic Lateral Sclerosis (ALS),Dr. Anil Kumar,"NIMHANS, Bangalore","Riluzole, Supportive care"
Systemic Lupus Erythematosus,Dr. Pradeep Sharma,"AIIMS, Delhi","Immunosuppressants, Steroids"
Hemochromatosis,Dr. Anjali Gupta,"Fortis Hospital, Delhi","Phlebotomy, Chelation therapy"
Hyperthyroidism,Dr. Priya Sen,"Apollo Hospital, Kolkata","Antithyroid medications, Radioactive iodine"
Hypothyroidism,Dr. Meena Gupta,"AIIMS, Delhi",Thyroid hormone replacement therapy
Alopecia Areata,Dr. Rohit Sharma,"Fortis Hospital, Mumbai","Topical corticosteroids, Immunotherapy"
Narcolepsy,Dr. KiranÿJain,NIMHANS,
